Category,Deal Name,Amount,Price
Pantry Items,Løgismose sauce- Mornay-- bearnaise- eller andesauce,200-250 g,19.-
Pantry Items,Løgismose suppe- Tomat- eller kartoffel/jordskoksuppe,350 g,29.-
Pantry Items,Maoam eller Haribo slikpose,90-120 g,9.-
Pantry Items,Marabou plader,160 g,22.-
Pantry Items,Mou tomatsuppe,1000 g,25.-
Pantry Items,Murph crisp proteinbar,50 g,10.-
Pantry Items,Murph kreatinpulver,300 g,75.-
Pantry Items,Murph Pre-workout,200 g,59.-
Pantry Items,Murph proteinbar,50 g,13.-
Pantry Items,Nutramino bar,39 g,10.-
Pantry Items,Premieur chokolade- Pistacie,75 g,45.-
Pantry Items,Premieur Dubai style kugler,127 g,45.-
Pantry Items,Salatmesteren remoulade,400 g,11.-
Pantry Items,Sereno nøddebøtter,130-155 g,13.-
Pantry Items,Spangsberg flødeboller 4-pak- Kokos- klassisk eller hindbær,4 stk./124 g,30.-
Pantry Items,Taffel chips,110-196 g,12.-
Pantry Items,True dates,100 g,14.-
