Category,Deal Name,Amount,Price
Fish & Seafood,Irma varmrøget- røget eller gravad laks,125 g,35.-
Fish & Seafood,Røget- gravad laks eller rejer i lage,200 g,45.-
Frozen Foods,Carte D'or Les Classiques eller Coop pints is,450-750 ml,25.-
Frozen Foods,Coop Asia cubes eller dumplings,320-350 g,22.-
Frozen Foods,Coop brød,270-750 g,15.-
Frozen Foods,Coop paneret kylling,200-250 g,12.-
Frozen Foods,Irma rejer,150 g,25.-
Frozen Foods,Irma rødspætter,450 g,39.-
Frozen Foods,Irma skovbær- eller hindbærtærte,420-430 g,49.-
Frozen Foods,Jensens æbleskiver med fyld,560 g,22.-
Frozen Foods,Mou special supper,800-1000 g,29.-
Frozen Foods,Premier multipak is,300 ml,28.-
Frozen Foods,Steff Houlberg maxiretter,450-500 g,32.-
Frozen Foods,Tradizionale pizza,360-415 g,20.-
Fruits & Vegetables,Brune champignoner,250 g,14.-
Fruits & Vegetables,Danske løg,1 kg,8.-
Fruits & Vegetables,Danske rødbeder,1,5 kg,10.-
Fruits & Vegetables,Lammefjords gulerødder,1 kg,12.-
Fruits & Vegetables,Mango,Stk,10.-
Meat & Poultry,Coop pålæg,80-120 g,10.-
Meat & Poultry,Danske Egnsgårde hakkebøf,200 g,22.-
Meat & Poultry,Danske Egnsgårde hakket gris 8-12%- eller medister,400-475 g,32.-
Meat & Poultry,Frijsenborg hel kylling,1350 g,69.-
Meat & Poultry,Gourmetsaltet flæskesteg,1100-1300 g,89.-
Meat & Poultry,Gourmetsaltet stegeflæsk XL eller Danske Egensgårde stegeflæsk,375-400 g,35.-
Meat & Poultry,Hakket gris & kalv 8-12%,900 g,69.-
Meat & Poultry,Hakket oksekød 14-18%,400 g,40.-
Meat & Poultry,Koteletter eller panerede XL schnitzler,400-500 g,39.-
Meat & Poultry,Kyllingebryst eller inderfilet,1000 g,69.-
Meat & Poultry,Kyllingebryst med bbq eller hakket kylling 3-6%,375-400 g,32.-
Meat & Poultry,Røget hamburgerryg eller mørbrad af gris,1000-1300 g,89.-
Meat & Poultry,Steff Houlberg pølser,300-400 g,29.-
Meat & Poultry,Stegeflæsk i skiver,1000 g,69.-
Meat & Poultry,Stegte kyllingestykker,150 g,18.-
Organic,365 økologiske græskarkerner eller solsikkekerner,350-375 g,16.30 kr.
Organic,365 økologiske haricots verts,450 g,9.76 kr.
Organic,365 økologisk knækbrød,200 g,13.96 kr.
Organic,Änglamark økologisk leverpostej,200 g,9.76 kr.
Organic,Änglamark økologiske store æbler i bakke,6 stk,25.-
Organic,Coop økologiske appelsiner,1 kg,13.-
Organic,Irma økologiske chokoladeplade,100 g,28.-
Organic,Irma økologisk rugbrødsblanding,540 g,25.-
Organic,Naturli' økologisk havredrik,1 liter,11.87 kr.
Organic,Thise økologisk aktiv drikkeyoghurt,300 ml,12.-
Organic,Thise økologisk aktiv yoghurt,750 g,16.-
Organic,Thise økologisk græsk inspireret yoghurt,1 kg,32.-
Organic,Thise økologisk ost,Min. 248 g,35.-
Organic,Thise økologisk revet ost,140 g,15.-
Organic,Thise økologisk skiveost,150 g,18.-
Organic,Thise økologisk skyr- pouch skyr eller drik,140-160 g/300 ml,10.-
Organic,Økologisk olivenolie,1000 ml,99.-
Pantry Items,365 kanel,4 stk,4.-
Pantry Items,Ama flydende eller stege-bage,500 ml/500 g,14.-
Pantry Items,Barebells eller Grenade proteinbar,55-60 g,17.-
Pantry Items,Coop flødekartofler,600 g,16.-
Pantry Items,Coop sukker,1000 g,8.-
Pantry Items,Fazer Pastiller,38-40 g,10.-
Pantry Items,Graasten karry eller italiensk salat,250 g,10.-
Pantry Items,Heinz eller Kraft mayonnaise,395-475 g./220-480 ml,15.-
Pantry Items,Herregårdsrødkål,720 g,14.-
Pantry Items,Irma grov sennep,205 g,15.-
Pantry Items,Irma kirsebærsauce,335 g,45.-
Pantry Items,Irma lakridskugler,110 g,35.-
Pantry Items,Irma remoulade eller mayonnaise i pose,200-250 g,15.-
Pantry Items,Irma saucer,245-260 g,10.-
Pantry Items,Irma slikposer,200 g,25.-
Pantry Items,Lays eller Bugles chips,125-175 g,12.-
Pantry Items,LinusPro Whey100 proteinpulver,400 g,89.-
Pantry Items,St- Dalfour marmelade,284 g,22.-
Pantry Items,Steff Houlberg grønlangkål- finker- tarteletfyld eller risalamande,500-700 g,28.-
Pantry Items,Stryhns julepostej,175 g,10.-
Pantry Items,Svansø rosiner,1,2 kg,50.-
Pantry Items,Toms bars- Toms Mini- M&M's eller Maltesers,110-150 g,25.-
Pantry Items,Toms juleslik,75 g,15.-
Pantry Items,Toms slikpose,350-375 g,39.-
Pantry Items,Unknown Item (225 g),225 g,12.-
Pantry Items,Unknown Item (225-425 g),225-425 g,15.-
Pantry Items,Unknown Item (320-375 g),320-375 g,30.-
Pantry Items,Unknown Item (70 g),70 g,10.-
