Category,Deal Name,Amount,Price
Beverages Alcoholic - Wine,Burmester LBV 2019 eller Burmester 10 Year Old Tawny,75 cl,109.00 kr.
Beverages Alcoholic - Wine,Canard-Duchene Brut eller Demi-Sec Champagne,75 cl,219.00 kr.
Beverages Alcoholic - Wine,Chablis Mathilde Lafleur eller Cattin Celebration 2024,75 cl,89.00 kr.
Beverages Alcoholic - Wine,Cune Reserva,75 cl,50.00 kr.
Beverages Alcoholic - Wine,Die Weinmacher ¡H! Cava eller GM par Gabriel Meffre Rosé,75 cl,59.00 kr.
Beverages Alcoholic - Wine,Dream,75 cl,35.00 kr.
Beverages Alcoholic - Wine,Dulong Crémant de Bordeaux,75 cl,69.00 kr.
Beverages Alcoholic - Wine,Fat Bastard Chardonnay,75 cl,50.00 kr.
Beverages Alcoholic - Wine,KungFu Girl eller Terrunyo Carmenere,75 cl,89.00 kr.
Beverages Alcoholic - Wine,Les Moines Saint-Emilion Grand Cru Moillard Macon-Villages eller Stilio Primitivo,75 cl,79.00 kr.
Beverages Alcoholic - Wine,Memoro Primitivo Montepulciano d'Abruzzo eller,75 cl,50.00 kr.
Beverages Alcoholic - Wine,Morel Côtes-du-Rhône eller Spier Moscato,75 cl,50.00 kr.
Beverages Alcoholic - Wine,Novas Gran Reserva,6 x 75 cl,279.00 kr.
Beverages Alcoholic - Wine,Piccini Zinfandel Puglia,75 cl,50.00 kr.
Beverages Alcoholic - Wine,Reynella Grenache,75 cl,149.00 kr.
Beverages Alcoholic - Wine,Riesling Feinherb,75 cl,50.00 kr.
Beverages Alcoholic - Wine,Ripasso Superiore Pagus Bisano,75 cl,59.00 kr.
Beverages Alcoholic - Wine,Santa Rita,75 cl,39.00 kr.
Beverages Alcoholic - Wine,Torres Gran Coronas Limited Edition,75 cl,149.00 kr.
Beverages Alcoholic - Wine,Tosalet Vinyes Velles eller Vouvray Jean de Valmer,75 cl,59.00 kr.
Beverages Alcoholic - Wine,Villa da Vinci Sto Ippolito,75 cl,149.00 kr.
Beverages Alcoholic - Wine,Why Not? Premium Zin Flaxbourne Sauvignon Blanc eller,6 x 75 cl,299.00 kr.
Beverages Alcoholic - Wine,Z-Elebrate 16% Cecchi Chianti Classico eller,75 cl,69.00 kr.
Dairy & Eggs,Arla proteindrik eller pudding,500 ml/200 g,9.00 kr.
Dairy & Eggs,Cheasy hytteost eller Karolines Køkken madlavningsprodukt,500 g/500 ml,20.00 kr.
Dairy & Eggs,Coop skiveost,200-300 g,29.00 kr.
Dairy & Eggs,Galbani mozzarella,125-150 g,16.00 kr.
Dairy & Eggs,Luftig skyr eller Xtra drikkeyoghurt,125-300 g,8.00 kr.
Dairy & Eggs,Mammen guldost,Min. 850 g,75.00 kr.
Dairy & Eggs,Thise dansk økologisk smør,200 g,25.00 kr.
Dairy & Eggs,Thise dansk økologisk tapasost,180 g,29.00 kr.
Dairy & Eggs,Thise økologisk ost,Min. 225 g,39.00 kr.
Dairy & Eggs,Thise økologisk skyr eller proteinrig yoghurt,400 g,15.00 kr.
Dairy & Eggs,Thise økologisk yoghurt acido eller creme fraiche,400-1000 g,18.00 kr.
Fish & Seafood,Coop sild,240-490 g,20.00 kr.
Fish & Seafood,Glyngøre fersk laksefilet,600 g,110.00 kr.
Fish & Seafood,Glyngøre sprødbagt sejfilet med eller uden spinat og feta,250-325 g,39.00 kr.
Fish & Seafood,Irma rødspætter,450 g,39.00 kr.
Fruits & Vegetables,Danske hindbær fra Hyldetoftegaard,125 g,20.00 kr.
Fruits & Vegetables,Dansk Nordic crisp salat fra Katrine og Alfred,75 g,12.00 kr.
Fruits & Vegetables,Grøntsagsblandninger,450 g,13.00 kr.
Fruits & Vegetables,Irma stenfrugter,6-8 stk,28.00 kr.
Fruits & Vegetables,Kantareller,100 g,20.00 kr.
Fruits & Vegetables,Kernefri grønne druer,1 kg,25.00 kr.
Fruits & Vegetables,Mandariner,750 g,22.00 kr.
Household & Cleaning,Toiletrens eller Ambi-pur,55-750 ml,15.00 kr.
Household & Cleaning,Xtra køkkenrulle eller toiletpapir,519-536 g,15.00 kr.
Meat & Poultry,3-Stjernet pålæg,125 g,14.00 kr.
Meat & Poultry,Coop bacon,300 g,29.00 kr.
Meat & Poultry,Coop dansk kyllingebryst med lage eller inderfilet,350-450 g,29.00 kr.
Meat & Poultry,Coop hakket grise- og kalvekød 4-7% eller 8-12%,400-500 g,35.00 kr.
Meat & Poultry,Coop hakket oksekød 4-7%,400 g,49.00 kr.
Meat & Poultry,Coop paneret kylling,240-250 g,18.00 kr.
Meat & Poultry,Ferske salsiccia,300 g,45.00 kr.
Meat & Poultry,Frijsenborg dansk hel kylling eller hel kylling i stegepose,1350 g,69.00 kr.
Meat & Poultry,Gøl pølser,420-500 g,35.00 kr.
Meat & Poultry,Hakket gris/kalv 8-12% kyllingebryst- eller inderfilet,900-1000 g,69.00 kr.
Meat & Poultry,Højer spegepølser eller røget mørbrad,200-275 g,39.00 kr.
Meat & Poultry,Lammemørbrad lammefilet eller lammekoteletter,210-315 g,79.00 kr.
Meat & Poultry,Marinerede grillkøller eller grillspyd,400-600 g,49.00 kr.
Meat & Poultry,Okseculotte,0.5 kg,85.00 kr.
Meat & Poultry,Storkøbsmarked,600-2500 g,129.00 kr.
Meat & Poultry,Thise & Ko dansk økologiske tykstegsbøffer,300 g,89.00 kr.
Meat & Poultry,Tulip spareribs eller pulled pork,500 g,42.00 kr.
Non-Food & Miscellaneous,Crystalynx Dragons,1 stk,129.95 kr.
Non-Food & Miscellaneous,Dahlia buket,1 bundt,35.00 kr.
Non-Food & Miscellaneous,Hot Weels biler,1 stk,30.00 kr.
Non-Food & Miscellaneous,Jan van Haasteren eller Wasgij puslespil,1 stk,79.95 kr.
Non-Food & Miscellaneous,Lanternesæt,1 sæt,119.00 kr.
Non-Food & Miscellaneous,Legetæppe,1 stk,199.95 kr.
Non-Food & Miscellaneous,NORA LED-figurlys,1 sæt,99.00 kr.
Non-Food & Miscellaneous,Notesbog eller Aktivitetsbog,1 stk,49.95 kr.
Non-Food & Miscellaneous,Opbevaringskuffert,1 stk,79.95 kr.
Non-Food & Miscellaneous,Sloggi MEN 2-pak,1 pakke,99.00 kr.
Non-Food & Miscellaneous,Ternet Ninja motivationsdrikkeflaske,1 stk,79.00 kr.
Pantry,Amo hvedemel,1800 g,20.00 kr.
Pantry,Cirkel formalet kaffe,500 g,55.00 kr.
Pantry,Cirkel Karat Black Coffee eller BKI Instant kaffe,80-100 g,32.00 kr.
Pantry,Go-Tan Chilisauce eller Kikkoman Pankora,250 g/215-500 ml,20.00 kr.
Pantry,Graasten remoulade mayonnaise eller kartoffelsalat,375-400 g,18.00 kr.
Pantry,Heinz eller Beauvais ketchup,500-1000 g,29.00 kr.
Pantry,Irma hummus spread eller pesto,3 x 130-210 g,69.00 kr.
Pantry,Jensens Køkken sauce eller K-Salat bearnaise,325 g/250-350 ml,15.00 kr.
Pantry,Kikkoman soya,150-500 ml,40.00 kr.
Pantry,K-Salat pålægssalater,100-150 g,12.00 kr.
Pantry,Pickwick eller Fredsted Te,16-20 breve,13.00 kr.
Pantry,Santa Maria asiatisk marked,110-200 g/200-250 ml,15.00 kr.
Personal Care,Elvital shampoo,1000 ml,60.00 kr.
Personal Care,Head & shoulders,250 ml,22.00 kr.
Personal Care,HUSK,450 g/225 stk,120.00 kr.
Personal Care,Rexona deodorant eller Neutral håndsæbe,50-250 ml,15.00 kr.
Pet Food,Coop Optimal hundemad,3000 g,75.00 kr.
Pet Food,Coop Optimal kattemad,850 g,35.00 kr.
Ready Meals & Frozen,Coop Asia cubes,320-350 g,22.00 kr.
Ready Meals & Frozen,Coop færdigretter,400 g,29.00 kr.
Ready Meals & Frozen,Deli pizza,1 stk,55.00 kr.
Ready Meals & Frozen,Irma forårsruller,380 g,38.00 kr.
Ready Meals & Frozen,Knorr retter,252-324 g,22.00 kr.
Ready Meals & Frozen,Nissin cupnudler,63-67 g,10.00 kr.
Ready Meals & Frozen,Ristorante pizza,320-375 g,25.00 kr.
Ready Meals & Frozen,Steff Houlberg maxiretter eller Tulip minifrikadeller,400-500 g,35.00 kr.
Snacks & Sweets,Champagnebrus Twister Filur ispinde eller Carte D'or is,300-750 ml,25.00 kr.
Snacks & Sweets,Coop nødder,100-175 g,13.00 kr.
Snacks & Sweets,Hansens økologiske flødeis,725 ml,49.00 kr.
Snacks & Sweets,Irma økologiske chokoladeplader,100 g,28.00 kr.
Snacks & Sweets,M&M's eller Maltesers,135-150 g,30.00 kr.
Snacks & Sweets,Nestlé eller Mars bars,41.5-51 g,9.00 kr.
Snacks & Sweets,Panda lakrids og Nørregade bolcher,160-200 g,20.00 kr.
Snacks & Sweets,Premier is multipakke,300-460 ml,30.00 kr.
Snacks & Sweets,Stjernehaps 4-pak,40 g,10.00 kr.
Snacks & Sweets,Taffel chips eller nødder,110-175 g,12.00 kr.
